12,2,Thom & Iveta,Salsa,Hot Hot Hot,5,7,7,6,25,
12,2,Jennifer & Tristan,Waltz,(You Make Me Feel Like) A Natural Woman,4,5,5,5,19,
12,2,Simon & Kristina,Tango,Sing,5,7,7,7,26,
12,2,Gregg & Aliona,Charleston,Hey Good Looking,3,5,5,5,18,
12,2,Alison & Alja,Foxtrot,I Just Wanna Make Love To You,5,5,6,6,22,
12,2,Jake & Janette,Salsa,Mambo No. 5,8,9,9,9,35,
12,2,Judy & Anton,Cha cha cha,She's A Lady,2,5,5,5,17,
12,2,Caroline & Pasha,Tango,Blame,7,7,7,8,29,
12,2,Tim & Natalie,Waltz,When You Wish Upon A Star,5,6,6,6,23,
12,2,Sunetra & Brendan,Cha cha cha,Million Dollar Bill,6,6,7,7,26,
12,2,Mark & Karen,American Smooth,I'm Yours,6,7,7,7,27,
12,2,Scott & Joanne,Tango,Stop,4,5,6,5,20,
12,2,Pixie & Trent,Waltz,Come Away With Me,8,9,9,9,35,
12,2,Steve & Ola,Cha cha cha,Treasure,3,6,6,6,21,
